Match,Player1,Player2,Score1,Score2,Actual_Rounds,Match_ID
1,TitForTat,TitForTat,879,879,293,1
2,TitForTat,TitForTat,891,891,297,2
3,TitForTat,TitForTat,915,915,305,3
4,TitForTat,TitForTat,960,960,320,4
5,TitForTat,TitForTat,945,945,315,5
6,TitForTat,TitForTat,906,906,302,6
7,TitForTat,TitForTat,960,960,320,7
8,TitForTat,TitForTat,942,942,314,8
9,TitForTat,TitForTat,840,840,280,9
10,TitForTat,TitForTat,912,912,304,10
11,TitForTat,TitForTat,945,945,315,11
12,TitForTat,TitForTat,924,924,308,12
13,TitForTat,TitForTat,846,846,282,13
14,TitForTat,TitForTat,912,912,304,14
15,TitForTat,TitForTat,948,948,316,15
16,TitForTat,TitForTat,891,891,297,16
17,TitForTat,TitForTat,849,849,283,17
18,TitForTat,TitForTat,918,918,306,18
19,TitForTat,TitForTat,882,882,294,19
20,TitForTat,TitForTat,870,870,290,20
21,TitForTat,TitForTat,882,882,294,21
22,TitForTat,TitForTat,894,894,298,22
23,TitForTat,TitForTat,873,873,291,23
24,TitForTat,TitForTat,939,939,313,24
25,TitForTat,TitForTat,840,840,280,25
26,TitForTat,TitForTat,888,888,296,26
27,TitForTat,TitForTat,912,912,304,27
28,TitForTat,TitForTat,957,957,319,28
29,TitForTat,TitForTat,945,945,315,29
30,TitForTat,TitForTat,918,918,306,30
31,TitForTat,TitForTat,924,924,308,31
32,TitForTat,TitForTat,909,909,303,32
33,TitForTat,TitForTat,888,888,296,33
34,TitForTat,TitForTat,924,924,308,34
35,TitForTat,TitForTat,951,951,317,35
36,TitForTat,TitForTat,858,858,286,36
37,TitForTat,TitForTat,927,927,309,37
38,TitForTat,TitForTat,876,876,292,38
39,TitForTat,TitForTat,846,846,282,39
40,TitForTat,TitForTat,843,843,281,40
41,TitForTat,TitForTat,906,906,302,41
42,TitForTat,TitForTat,840,840,280,42
43,TitForTat,TitForTat,846,846,282,43
44,TitForTat,TitForTat,891,891,297,44
45,TitForTat,TitForTat,924,924,308,45
46,TitForTat,TitForTat,960,960,320,46
47,TitForTat,TitForTat,939,939,313,47
48,TitForTat,TitForTat,921,921,307,48
49,TitForTat,TitForTat,882,882,294,49
50,TitForTat,TitForTat,873,873,291,50
51,TitForTat,TitForTat,957,957,319,51
52,TitForTat,TitForTat,849,849,283,52
53,TitForTat,TitForTat,939,939,313,53
54,TitForTat,TitForTat,906,906,302,54
55,TitForTat,TitForTat,954,954,318,55
56,TitForTat,TitForTat,951,951,317,56
57,TitForTat,TitForTat,918,918,306,57
58,TitForTat,TitForTat,909,909,303,58
59,TitForTat,TitForTat,849,849,283,59
60,TitForTat,TitForTat,918,918,306,60
61,TitForTat,TitForTat,861,861,287,61
62,TitForTat,TitForTat,960,960,320,62
63,TitForTat,TitForTat,876,876,292,63
64,TitForTat,TitForTat,957,957,319,64
65,TitForTat,TitForTat,891,891,297,65
66,TitForTat,TitForTat,903,903,301,66
67,TitForTat,TitForTat,846,846,282,67
68,TitForTat,TitForTat,927,927,309,68
69,TitForTat,TitForTat,948,948,316,69
70,TitForTat,TitForTat,945,945,315,70
71,TitForTat,TitForTat,852,852,284,71
72,TitForTat,TitForTat,927,927,309,72
73,TitForTat,TitForTat,924,924,308,73
74,TitForTat,TitForTat,927,927,309,74
