Player1,Player2,First_Win,Second_Win,Draws
TitForTat,TitForTat,0,0,100
TitForTat,TitForTwoTats,0,0,100
TitForTat,AlwaysCooperate,0,0,100
TitForTat,MostlyCooperate,0,13,87
TitForTat,AlwaysDefect,0,100,0
TitForTat,MostlyDefect,0,79,21
TitForTat,Random,0,46,54
TitForTat,GrimTrigger,0,0,100
TitForTat,Mirror,0,0,100
TitForTat,Bearer,0,0,100
TitForTwoTats,TitForTat,0,0,100
TitForTwoTats,TitForTwoTats,0,0,100
TitForTwoTats,AlwaysCooperate,0,0,100
TitForTwoTats,MostlyCooperate,100,0,0
TitForTwoTats,AlwaysDefect,0,100,0
TitForTwoTats,MostlyDefect,100,0,0
TitForTwoTats,Random,100,0,0
TitForTwoTats,GrimTrigger,0,0,100
TitForTwoTats,Mirror,0,0,100
TitForTwoTats,Bearer,0,0,100
AlwaysCooperate,TitForTat,0,0,100
AlwaysCooperate,TitForTwoTats,0,0,100
AlwaysCooperate,AlwaysCooperate,0,0,100
AlwaysCooperate,MostlyCooperate,0,100,0
AlwaysCooperate,AlwaysDefect,0,100,0
AlwaysCooperate,MostlyDefect,0,100,0
AlwaysCooperate,Random,0,100,0
AlwaysCooperate,GrimTrigger,0,0,100
AlwaysCooperate,Mirror,0,0,100
AlwaysCooperate,Bearer,0,0,100
MostlyCooperate,TitForTat,21,0,79
MostlyCooperate,TitForTwoTats,0,100,0
MostlyCooperate,AlwaysCooperate,100,0,0
MostlyCooperate,MostlyCooperate,47,53,0
MostlyCooperate,AlwaysDefect,0,100,0
MostlyCooperate,MostlyDefect,0,100,0
MostlyCooperate,Random,0,100,0
MostlyCooperate,GrimTrigger,0,100,0
MostlyCooperate,Mirror,18,0,82
MostlyCooperate,Bearer,0,100,0
AlwaysDefect,TitForTat,100,0,0
AlwaysDefect,TitForTwoTats,100,0,0
AlwaysDefect,AlwaysCooperate,100,0,0
AlwaysDefect,MostlyCooperate,100,0,0
AlwaysDefect,AlwaysDefect,0,0,100
AlwaysDefect,MostlyDefect,100,0,0
AlwaysDefect,Random,100,0,0
AlwaysDefect,GrimTrigger,100,0,0
AlwaysDefect,Mirror,100,0,0
AlwaysDefect,Bearer,100,0,0
MostlyDefect,TitForTat,80,0,20
MostlyDefect,TitForTwoTats,0,100,0
MostlyDefect,AlwaysCooperate,100,0,0
MostlyDefect,MostlyCooperate,100,0,0
MostlyDefect,AlwaysDefect,0,100,0
MostlyDefect,MostlyDefect,47,49,4
MostlyDefect,Random,100,0,0
MostlyDefect,GrimTrigger,0,100,0
MostlyDefect,Mirror,86,0,14
MostlyDefect,Bearer,0,100,0
Random,TitForTat,43,0,57
Random,TitForTwoTats,0,100,0
Random,AlwaysCooperate,100,0,0
Random,MostlyCooperate,100,0,0
Random,AlwaysDefect,0,100,0
Random,MostlyDefect,0,100,0
Random,Random,44,51,5
Random,GrimTrigger,0,100,0
Random,Mirror,48,0,52
Random,Bearer,0,100,0
GrimTrigger,TitForTat,0,0,100
GrimTrigger,TitForTwoTats,0,0,100
GrimTrigger,AlwaysCooperate,0,0,100
GrimTrigger,MostlyCooperate,100,0,0
GrimTrigger,AlwaysDefect,0,100,0
GrimTrigger,MostlyDefect,100,0,0
GrimTrigger,Random,100,0,0
GrimTrigger,GrimTrigger,0,0,100
GrimTrigger,Mirror,0,0,100
GrimTrigger,Bearer,0,0,100
Mirror,TitForTat,0,0,100
Mirror,TitForTwoTats,0,0,100
Mirror,AlwaysCooperate,0,0,100
Mirror,MostlyCooperate,0,21,79
Mirror,AlwaysDefect,0,100,0
Mirror,MostlyDefect,0,89,11
Mirror,Random,0,46,54
Mirror,GrimTrigger,0,0,100
Mirror,Mirror,0,0,100
Mirror,Bearer,0,0,100
Bearer,TitForTat,0,0,100
Bearer,TitForTwoTats,0,0,100
Bearer,AlwaysCooperate,0,0,100
Bearer,MostlyCooperate,100,0,0
Bearer,AlwaysDefect,0,100,0
Bearer,MostlyDefect,100,0,0
Bearer,Random,100,0,0
Bearer,GrimTrigger,0,0,100
Bearer,Mirror,0,0,100
Bearer,Bearer,0,0,100
