Player1,Player2,A_avg,B_avg,A_std,B_std
TitForTat,TitForTat,907.92,907.92,35.00762202721002,35.00762202721002
TitForTat,TitForTwoTats,896.16,896.16,35.527093886215916,35.527093886215916
TitForTat,AlwaysCooperate,896.91,896.91,39.27928079789649,39.27928079789649
TitForTat,MostlyCooperate,829.79,830.44,34.23749260679,34.003035158644295
TitForTat,AlwaysDefect,296.63,301.63,11.5919411661723,11.5919411661723
TitForTat,MostlyDefect,462.01,465.96,25.511368054261613,25.793378995393372
TitForTat,Random,671.08,673.38,32.6838431032827,32.68295580268101
TitForTat,GrimTrigger,895.08,895.08,35.23057762796404,35.23057762796404
TitForTat,Mirror,898.77,898.77,32.740145082146476,32.740145082146476
TitForTat,Bearer,907.5,907.5,36.135993137037204,36.135993137037204
TitForTwoTats,TitForTat,902.79,902.79,34.161175331068456,34.161175331068456
TitForTwoTats,TitForTwoTats,900.39,900.39,35.16188134898359,35.16188134898359
TitForTwoTats,AlwaysCooperate,900.18,900.18,32.46609924213255,32.46609924213255
TitForTwoTats,MostlyCooperate,1245.78,88.28,54.20084501186305,16.446324817417416
TitForTwoTats,AlwaysDefect,297.28,307.28,12.201704798920519,12.201704798920519
TitForTwoTats,MostlyDefect,535.21,249.51,37.32406596286101,13.061006852459728
TitForTwoTats,Random,889.0,164.65,47.46156339607872,11.837546198431497
TitForTwoTats,GrimTrigger,898.95,898.95,35.416203918545534,35.416203918545534
TitForTwoTats,Mirror,901.5,901.5,34.83231258472512,34.83231258472512
TitForTwoTats,Bearer,892.65,892.65,36.82400711492436,36.82400711492436
AlwaysCooperate,TitForTat,904.74,904.74,34.33704122372806,34.33704122372806
AlwaysCooperate,TitForTwoTats,903.54,903.54,34.48142108440428,34.48142108440428
AlwaysCooperate,AlwaysCooperate,901.08,901.08,32.65323261179511,32.65323261179511
AlwaysCooperate,MostlyCooperate,720.81,1022.11,30.044531948426155,43.76046046375655
AlwaysCooperate,AlwaysDefect,0.0,1503.2,0.0,61.10859186726528
AlwaysCooperate,MostlyDefect,183.15,1389.5,20.950119331402387,56.62623067095319
AlwaysCooperate,Random,451.32,1206.17,31.038969055044337,54.41636794200804
AlwaysCooperate,GrimTrigger,903.63,903.63,35.558024410813374,35.558024410813374
AlwaysCooperate,Mirror,904.32,904.32,34.389789182255825,34.389789182255825
AlwaysCooperate,Bearer,897.21,897.21,37.067315791678254,37.067315791678254
MostlyCooperate,TitForTat,829.71,828.66,30.40305741204328,30.250361981305282
MostlyCooperate,TitForTwoTats,90.79,1243.99,17.357012991871613,55.18668227027242
MostlyCooperate,AlwaysCooperate,1015.36,719.46,39.84056224502862,34.46314553258306
MostlyCooperate,MostlyCooperate,829.24,828.99,47.3208453009876,42.067444657359445
MostlyCooperate,AlwaysDefect,59.1,1252.5,6.486139067272609,55.9734758613399
MostlyCooperate,MostlyDefect,249.62,1160.17,27.89400652469989,52.286146348722234
MostlyCooperate,Random,536.9,989.25,35.507604819249636,48.8527123095535
MostlyCooperate,GrimTrigger,79.3,1245.1,15.162783385645263,53.4919620129978
MostlyCooperate,Mirror,830.28,829.38,33.56637603316748,33.706017266951015
MostlyCooperate,Bearer,782.77,843.32,32.850526632003934,33.124878867703046
AlwaysDefect,TitForTat,304.81,299.81,12.795854797550652,12.795854797550652
AlwaysDefect,TitForTwoTats,307.4,297.4,12.111151885762148,12.111151885762148
AlwaysDefect,AlwaysCooperate,1496.85,0.0,61.75214571170786,0.0
AlwaysDefect,MostlyCooperate,1247.5,61.1,60.23977091589907,7.42091638546076
AlwaysDefect,AlwaysDefect,301.41,301.41,11.875264207587131,11.875264207587131
AlwaysDefect,MostlyDefect,537.08,240.18,33.516765953773046,11.430992957744309
